ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZNF700,0.2708617734972174,4.011148371644029,0.7781394566742578,0.4436307217543308,0.9972652206254287,-5.25232920288439
ZNF865,0.3011745462993094,4.2540517607218264,1.1272549923936905,0.2674005692077042,0.9972652206254287,-5.252627314564044
SUCO,0.342268572267205,4.404305884202353,1.0512111262675585,0.3014034567395424,0.9972652206254287,-5.252785028910478
NMNAT3,0.3866377295382941,4.793325577558462,1.126896610409835,0.2675499907496028,0.9972652206254287,-5.252993867629082
XYLT2,0.32088837643639323,4.492536636245321,1.126759475332908,0.26760718283659224,0.9972652206254287,-5.253134100914899
FGFR1,0.26147695613121513,5.963579177385354,1.1267021735556366,0.26763108310061273,0.9972652206254287,-5.253192692609646
ZNF808,0.2642280445166101,5.697962526254619,1.1267021181616619,0.2676311062058835,0.9972652206254287,-5.253192749249256
TPM4,0.4015866441834133,5.743400622654486,1.1266650280750596,0.26764657709954,0.9972652206254287,-5.253230672800864
OBSCN,0.17275791131062768,13.074332703502439,1.1261328157128354,0.26786864241605923,0.9972652206254287,-5.253774717791765
PRRC1,-0.29198631269842856,6.143578276960035,-1.126001529445281,0.26792344185646616,0.9972652206254287,-5.253908886446579
TRAM2,0.4009194469949957,4.312013619861135,1.086671432086216,0.2851615343257597,0.9972652206254287,-5.254151790319732
ZNF557,0.31388781052401704,4.231239304166987,1.0319728284499574,0.3101831555830907,0.9972652206254287,-5.254381395133313
RABGGTB,-0.30396097888046025,5.397386442302226,-1.1251205629700383,0.2682913689958696,0.9972652206254287,-5.254808820936987
PCBD2,-0.2534244522467102,6.520933950877656,-1.1250772287897008,0.26830947644228675,0.9972652206254287,-5.254853071360935
GDAP1,0.3105591970929371,4.5158827600002915,1.1241434358422326,0.269430060748923,0.9972652206254287,-5.255312778326236
ALG6,-0.2502016519523842,4.282013521296438,-1.1240710113801085,0.26895917072138215,0.9972652206254287,-5.255725323104656
CADM1,-0.34738120328739,4.793431698210872,-1.1240309560217874,0.26897592076508153,0.9972652206254287,-5.255766177831554
SMYD4,-0.2752911960101283,4.83946232005488,-1.1240688236107543,0.2687310920565764,0.9972652206254287,-5.2558823535241235
VIM,-0.34906553787770456,4.768207530695367,-1.1234841760902623,0.26897575136635377,0.9972652206254287,-5.256478714678269
ZNF316,-0.2192832065555712,3.8054320122578975,-0.6603393202598178,0.5160297782713879,0.9972652206254287,-5.2570610956262485
GTF3C3,0.3109265258728975,5.134973854454697,1.1227362256653193,0.2692889812293189,0.9972652206254287,-5.257241232812827
DUSP19,0.25107887992736444,4.097767107210037,1.0816598633185355,0.28912712305290694,0.9972652206254287,-5.257749171131831
RSAD1,0.3758728062452761,4.595745774098554,1.1220324639840749,0.26958394407761044,0.9972652206254287,-5.257958273271944
HNRNPR,0.2500647641624614,7.266267976698736,1.1218051898599761,0.2696792493479637,0.9972652206254287,-5.258189746957293
PCF11,0.3533559532536952,6.131994385572656,1.1217685954236694,0.269694597136356,0.9972652206254287,-5.258227013535427
LMBRD2,0.30074852620780135,5.812556414839312,1.121524934195673,0.26979680514851334,0.9972652206254287,-5.2584751215357874
CYB561,-0.0963773639769272,3.7726043761637253,-0.2444407973251583,0.8093123523476773,0.9972652206254287,-5.258935223068316
CHAC2,-0.28731030108500644,3.931797892274974,-0.8649425761517439,0.3970503476800661,0.9972652206254287,-5.259005912783451
EPS15,-0.22468546514001098,7.396938231004174,-1.1209215663474892,0.2700500178350353,0.9972652206254287,-5.259089286436789
CEP120,-0.37431902512644477,4.332984406449437,-1.0811103566420301,0.2881059673259669,0.9972652206254287,-5.259209984290536
SEPHS1,-0.33731402550309575,4.411919204535774,-1.0806586078299363,0.2883037425212533,0.9972652206254287,-5.2596502676759735
ZNF417,0.2750269918610835,3.9119072189064035,0.9915851700830757,0.32972709824153046,0.9972652206254287,-5.259723561563476
